Longitude,Latitude,Speed,Acceleration,ActionVehicleAhead,ActionId,action_accelerate,action_decelerate,action_stop,ActionParam,ActionDuration,StartTime,EndTime,y_fuel,y_travel
1.4681077399359808,43.56431157707168,4.543264730614825,-0.4877683655564713,3,1,1,0,0,7.852300931648957,5,39,44,-42.224812141219445,-32.0
1.467439972783524,43.56715311348525,13.8643397976961,-0.384982981486246,1,3,0,0,1,0.0,12,59,71,-8.367267917171295,-13.0
1.4692979859041655,43.56499911584974,4.523363360316429,-0.0886906473443422,0,2,0,1,0,5.922986453420458,6,29,35,14.585814326342632,-14.0
1.4693191953192493,43.56500146636303,4.856394872627778,-4.0,0,1,1,0,0,7.088611222247201,18,28,46,-76.8810063376145,2.0
1.468239133081628,43.56646046717462,6.503595081276005,1.50959490936998,1,2,0,1,0,11.59204950025306,19,56,75,14.43414268995996,-15.0
1.4680804270518322,43.56663971385424,4.367935617677519,0.4631002989199499,0,1,1,0,0,5.43746220834504,11,59,70,-58.77486736370638,-20.0
1.4680456119922622,43.56669672757734,6.312219281390613,2.477760253300489,1,3,0,0,1,0.0,16,58,74,-2.516790360751096,-29.0
1.4680390416586446,43.56671621835329,5.945423720545409,0.1866673195271682,1,1,1,0,0,8.064614258779924,15,70,85,-127.32407999616224,-29.0
1.4688292501888924,43.56584741528375,13.914854893536308,-0.6814885498647634,1,1,1,0,0,4.054894658953318,6,46,52,-70.50130440806385,-33.0
1.4685995548136532,43.56608686222891,17.583589981481435,5.549255496439823,0,3,0,0,1,0.0,8,41,49,-8.827667753761721,-7.0
1.4680291693268184,43.566749370333305,8.165364639666583,2.9440577216469244,2,3,0,0,1,0.0,11,60,71,12.158939541871135,-19.0
1.4687100852461308,43.56471627011978,14.651447212494912,-1.125782422022894,1,1,1,0,0,6.704813689076287,12,18,30,-39.63383862688864,10.0
1.4691233315073524,43.56556021768373,12.722454498003266,0.8182390092146914,2,2,0,1,0,7.548794854827706,7,55,62,11.695868955494399,-32.0
1.4695162095181484,43.565270951989305,15.253294085369326,4.144903338019814,4,1,1,0,0,8.832624166350568,20,63,83,-82.0949281185102,-3.0
1.4679105792069849,43.56695577763335,8.85799458698594,5.353092848090455,1,3,0,0,1,0.0,14,58,72,2.7945294982156774,-20.0
1.4672503943499031,43.56684939555518,16.00537385599129,1.898483200350281,1,2,0,1,0,6.312911802209739,14,69,83,6.688454476584826,-13.0
1.468540083646402,43.564631970537405,9.572819266505215,0.4114616209632764,3,2,0,1,0,6.626351756239475,6,22,28,6.194980327696103,-17.0
1.4691081470684346,43.56490703602197,8.465625776830656,2.1057133083485127,1,3,0,0,1,0.0,14,30,44,6.158755026086321,-30.0
1.468969368540632,43.56571057720095,10.370810865886792,-2.4328238257040304,1,2,0,1,0,10.170454094000654,9,55,64,5.720292436692107,-27.0
1.4699829078361657,43.56496615744966,12.852847850312193,-2.979970902654568,2,1,1,0,0,3.54192951793578,11,49,60,-87.26030829662574,-25.0
1.4676685786469523,43.567247263191724,15.95622403471172,1.025041397660971,1,3,0,0,1,0.0,14,57,71,-4.660475380729884,-15.0
1.4691404202228806,43.56493673831058,6.73647731035664,1.7719243545746153,1,3,0,0,1,0.0,7,44,51,13.082910434856428,-27.0
1.4697700084555467,43.56475518378009,13.080248447431543,0.0419045795521437,1,3,0,0,1,0.0,15,54,69,-2.9599801785761084,-41.0
1.4691538745453627,43.565530389378935,12.094292599402907,-0.4852226385392644,1,2,0,1,0,5.874879791210271,18,62,80,24.10400849115767,-28.0
1.468138440364669,43.56657262724777,2.9072468364730977,-0.3617659499339556,1,3,0,0,1,0.0,14,68,82,-0.04646207913960097,-32.0
1.4692331460456096,43.56545297272045,13.739105382174255,-4.0,2,3,0,0,1,0.0,6,41,47,-4.439287147682102,-13.0
